Emoji,ASCII Code,Hex Color,Normalized Color
🟩,129001,#37c136,#00ad00
🟦,128998,#3b80f5,#0558f2
⬛,11035,#3c3c3c,#060007
🚹,128697,#4797e6,#1477df
🟢,128994,#49c849,#16b718
🅰,127344,#4d4d4d,#1c161d
✅,9989,#4dcc52,#1cbc23
🔵,128309,#4f8ad8,#1e66cd
🛂,128706,#519be6,#217cdf
⚫,9899,#545453,#241f24
🛃,128707,#549de7,#247ee0
❎,10062,#54cd59,#24bd2c
🏧,127975,#5688bd,#2763ab
💹,128185,#56cd5b,#27bd2e
🌌,127756,#58697b,#2a3a57
🚾,128702,#5ba1e7,#2d84e0
♿,9855,#5ca1e7,#2f84e0
🛅,128709,#5ca2e7,#2f85e0
🈳,127539,#5fa2e7,#3385e0
🛜,128732,#6497eb,#3977e5
🎽,127933,#64bdde,#39a8d5
🈯,127535,#64d068,#39c13f
💻,128187,#676767,#3d383e
🌑,127761,#687282,#3e4660
🕋,128331,#696660,#3f3635
🛄,128708,#6aa9e8,#418ee1
🌃,127747,#6c8ca1,#436887
📟,128223,#6e9d81,#467e5f
🩻,129659,#6ea5bd,#4689ab
🥬,129388,#6eac6d,#469245
🖲,128434,#6f798b,#474f6b
🛗,128727,#70a6e6,#488adf
🧿,129535,#7388d4,#4c63c8
💙,128153,#74a8f8,#4d8df6
🪼,129724,#79c0fd,#54acfc
📘,128216,#7aa2c1,#5585b0
🚛,128667,#7ca47f,#57885c
🪣,129699,#7ca5b2,#57899d
🌚,127770,#7d818e,#595a6f
🌎,127758,#7e9bb7,#5a7ca3
🖤,128420,#838383,#605c61
🌘,127768,#83847b,#605e57
🎥,127909,#838588,#605f68
🌉,127753,#847d7d,#62555a
🌒,127762,#84867e,#62605b
🛞,128734,#848687,#626066
🖥,128421,#858585,#635f64
🔷,128311,#85b6e2,#639fda
🔳,128307,#868685,#646064
🥏,129359,#86b2d6,#649aca
🧳,129523,#87776c,#664d44
🎱,127921,#888888,#676368
🎮,127918,#8a8985,#696464
⛴,9972,#8a8a8a,#69666a
🦚,129434,#8ab493,#699c75
🦋,129419,#8ab8cd,#69a2bf
🎆,127878,#8b7391,#6b4773
🦥,129445,#8b7e68,#6b563f
🏴,127988,#8b8b8b,#6b676b
📺,128250,#8d8882,#6d6360
🌀,127744,#8daef1,#6d95ed
🚙,128665,#8db7c9,#6da0ba
💚,128154,#8ddb86,#6dcf65
🌏,127759,#8ea4b2,#6e889d
🥦,129382,#8ea97a,#6e8e56
🌍,127757,#8fa6ae,#708a98
☁,9729,#909090,#716d72
🚎,128654,#90aebf,#7195ad
🏿,127999,#918680,#72605d
💣,128163,#91918e,#726f6f
🗾,128510,#91b8e0,#72a2d7
📼,128252,#929292,#747074
🟫,129003,#93694d,#753a1d
🎑,127889,#939799,#75777d
🚝,128669,#939ba6,#757c8e
📲,128242,#939da6,#757e8e
🚈,128648,#94a0ad,#768296
🏙,127961,#94b2ce,#769ac0
🐳,128051,#94cfde,#76c0d5
🥷,129399,#959491,#777373
🗄,128452,#959a9b,#777a80
📫,128235,#95aec1,#7795b0
🏞,127966,#95c2bc,#77afaa
🚇,128647,#96908f,#796d70
🎩,127913,#969287,#797066
🔲,128306,#969695,#797578
🚔,128660,#969ea2,#798089
📭,128237,#96a1ab,#798494
🫑,129745,#96ac7e,#79925b
🌳,127795,#96ad73,#79934d
🧤,129508,#96d7b9,#79caa6
♻,9851,#979797,#7a777b
🌠,127776,#97aa9d,#7a8f82
🪀,129664,#97ca80,#7ab95d
🥅,129349,#988282,#7b5b60
🔣,128291,#98afc4,#7b96b4
📪,128234,#98b4c6,#7b9cb6
🔢,128290,#9ab1c5,#7e99b5
🗺,128506,#9abfc6,#7eabb6
🦠,129440,#9ac875,#7eb74f
🎓,127891,#9b9690,#7f7572
📽,128253,#9b9d9d,#7f7e82
🚮,128686,#9bb1c5,#7f99b5
🔡,128289,#9bb2c5,#7f9ab5
